leaf_id,date_processed,leaf_area_cm2,lesion_area_cm2,severity_pct,lesion_count,mean_lesion_size_px,leaf_mean_r,leaf_mean_g,leaf_mean_b,lesion_mean_r,lesion_mean_g,lesion_mean_b,lesion_to_leaf_color_ratio_g,exg_mean,ndvi_proxy_mean,leaf_solidity,leaf_circularity,leaf_aspect_ratio,damage_pct_inpaint,lesion_glcm_contrast,lesion_glcm_dissimilarity
1763920795,2025-11-24T01:59:58.433265,70.9546281444,9.645583619700002,13.594016164907863,1633,139.37354562155542,132.36262993924421,130.92402122988045,101.04579977589884,117.38384073603781,108.41602042206179,80.1556611027386,0.8280834899785241,28.439612744617868,-0.006662315739124274,1.001471781483667,0.42583289429805704,0.24552027664256523,15.00313096026282,4.976907699806272,0.3817291858403351
1763921550,2025-11-24T02:12:33.742096,70.9546281444,9.645583619700002,13.594016164907863,1633,139.37354562155542,132.36262993924421,130.92402122988045,101.04579977589884,117.38384073603781,108.41602042206179,80.1556611027386,0.8280834899785241,28.439612744617868,-0.006662315739124274,1.001471781483667,0.42583289429805704,0.24552027664256523,15.00313096026282,4.976907699806272,0.3817291858403351
1763921931,2025-11-24T02:18:54.435535,71.47535243310001,9.9739022544,13.954323994044579,1684,139.75296912114015,133.1666147850232,131.44683554586305,100.77560032990795,117.73042015092801,108.58922683391121,79.24442518186144,0.8261075771278145,28.951455976794968,-0.007860507760718552,1.0017929774801198,0.4259850418708788,0.2449874686716792,14.998687409945038,5.118167072903666,0.39240428801105304
1763922496,2025-11-24T02:28:19.481769,72.08952484230001,11.961105143400001,16.59201551066623,1673,168.69934249850567,127.24685145350767,124.73910346891252,93.40311859392847,110.8570547843279,101.64487269428913,72.02956412055245,0.8148597341780724,28.8282368903889,-0.011858266141239618,1.0010260230880206,0.41942588338959225,0.24142194744976817,15.03935756212725,5.8765843987048765,0.45164564678548225
1763922840,2025-11-24T02:34:04.574295,56.408379281100004,0.0,0.0,0,0,89.3495989139083,131.16368234372217,127.03330250463745,0.0,0.0,0.0,0.0,45.9444632688986,0.194231228005657,1.021008358238265,0.4864584745943818,0.33120476798637716,28.80596771955501,0,0
1763923358,2025-11-24T02:42:41.108299,71.9718353046,11.559807976500002,16.061571762865924,1733,157.39469128678593,128.11526539735704,125.69241911949152,94.2979415231951,111.97839165582094,102.78418785401352,73.09831906586255,0.81774373167486,28.971631318430898,-0.011355506753295736,0.996524990493895,0.41744539453078106,0.24316770186335404,14.932113887784745,5.714265042659979,0.4399614943523375
1763923783,2025-11-24T02:49:47.030607,73.06435190250001,11.512427024700001,15.756558054552572,1706,159.2303634232122,128.29432925856642,126.0093345514131,95.72331839735502,110.47730326489894,101.43374305624579,72.36176361233512,0.8049700716010033,28.00102144690477,-0.010885880150712198,0.998460632322204,0.41068998193683154,0.2370977534911961,16.3411321876486,5.637957949763753,0.43416366273642476
1763923947,2025-11-24T02:52:30.693186,71.54489817720001,12.370412149200002,17.290418274915115,1669,174.89035350509286,124.94143310041868,122.4824662415915,92.64166269787675,110.09736135282913,101.1035314431365,72.49281926191878,0.8254530999050432,27.38183668488756,-0.011813673296138387,1.0008644026195312,0.4255216589020916,0.24483406386975579,15.422982896680585,6.031214567325677,0.45540950818728587
1763924392,2025-11-24T02:59:55.449474,71.4971781846,14.956912032300002,20.919583698369813,1603,220.16406737367436,126.70475790227414,123.4701247031794,93.44186702674378,111.37049441379564,102.10949697242741,72.86771618738365,0.8269976013865487,26.793624477340863,-0.015272151850157864,0.999127046170611,0.423259107075616,0.244375,15.722212960254689,6.194361381302299,0.49801002421101814
1763924545,2025-11-24T03:02:28.204293,71.3524501431,14.6000715903,20.461906439118785,1676,205.55071599045345,127.53126427346609,124.35023885875229,93.92719188468256,112.39029268250205,103.11654470352944,73.51848024545505,0.8292428357991181,27.242021559355937,-0.014848786326700466,1.0008554314846343,0.4246930617024843,0.2453660069117185,15.397149717415045,6.473209498526272,0.516476569586979
1763925197,2025-11-24T03:13:20.128641,68.72111211420001,15.485010458400001,22.53311970951107,1586,230.38083228247163,128.37713115047282,124.56488330243681,94.04530872465837,113.2358039760909,103.76482276180676,73.80430998620629,0.8330182633404903,26.707326729742427,-0.01757401826354739,1.000629118077657,0.4273047495222406,0.24358151476251605,15.61837172346761,6.540731818957624,0.546887849307204
1763925360,2025-11-24T03:16:03.103387,69.08604715530001,15.105115242000002,21.864205384402567,1541,231.29136924075277,126.8330561609861,123.32166980645374,93.41929561212964,111.67443185006454,102.39121261433141,73.08018629706527,0.8302775398275787,26.390987839791723,-0.016496110285972594,1.0010912713034337,0.42575161879653034,0.24226968441185848,15.944424421671014,6.447391340505478,0.5307724293306924
1763925426,2025-11-24T03:17:09.486028,69.00959345490001,10.241956386900002,14.841351577579498,1764,137.00056689342404,109.12633102608838,108.35986941374361,86.4413464189802,93.99397523058398,86.71213105528636,64.82136310408038,0.8002236577473062,21.152061382418633,-0.004580042581306651,1.0010057090586968,0.42433084150731715,0.24085268851415845,16.79744162147012,4.541087560147463,0.37127419357284647
1763925966,2025-11-24T03:26:09.018220,69.68945501910001,8.299718784000001,11.909576250417327,1800,108.8,105.62950052633467,105.5790119259957,83.70030485450236,90.83584558823529,83.8922589869281,62.787837009803916,0.7945921964654428,21.828218471154365,-0.0005809681006349923,1.000989794645004,0.4167085100160209,0.23837939698492464,15.506887208304951,3.6708651925648303,0.3021974292544245
